UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	smr	
# historical		
2015-02-04 , 	2190.00
2015-02-05 , 	2190.00
2015-02-06 , 	2190.00
2015-02-07 , 	2190.00
2015-02-08 , 	2190.00
2015-02-09 , 	2190.00
2015-02-10 , 	2190.00
2015-02-11 , 	2190.00
2015-02-12 , 	2190.00
2015-02-13 , 	2190.00
2015-02-14 , 	2190.00
2015-02-15 , 	2190.00
2015-02-16 , 	2190.00
2015-02-17 , 	2190.00
2015-02-18 , 	2190.00
2015-02-19 , 	2190.00
2015-02-20 , 	2190.00
2015-02-21 , 	2190.00
2015-02-22 , 	2190.00
2015-02-23 , 	2190.00
2015-02-24 , 	2190.00
2015-02-25 , 	2190.00
2015-02-26 , 	2190.00
2015-02-27 , 	2190.00
2015-02-28 , 	2190.00
2015-03-01 , 	2200.00
2015-03-02 , 	2200.00
2015-03-03 , 	2200.00
2015-03-04 , 	2200.00
2015-03-05 , 	2200.00
2015-03-06 , 	2200.00
2015-03-07 , 	2200.00
2015-03-08 , 	2200.00
2015-03-09 , 	2200.00
2015-03-10 , 	2200.00
2015-03-11 , 	2200.00
2015-03-12 , 	2200.00
2015-03-13 , 	2200.00
2015-03-14 , 	2200.00
2015-03-15 , 	2200.00
2015-03-16 , 	2200.00
2015-03-17 , 	2200.00
2015-03-18 , 	2200.00
2015-03-19 , 	2200.00
2015-03-20 , 	2200.00
2015-03-21 , 	2200.00
2015-03-22 , 	2200.00
2015-03-23 , 	2200.00
2015-03-24 , 	2200.00
2015-03-25 , 	2200.00
2015-03-26 , 	2200.00
2015-03-27 , 	2200.00
2015-03-28 , 	2200.00
2015-03-29 , 	2200.00
2015-03-30 , 	2200.00
2015-03-31 , 	2200.00
2015-04-01 , 	1950.00
2015-04-02 , 	1950.00
2015-04-03 , 	1950.00
2015-04-04 , 	1950.00
2015-04-05 , 	1950.00
2015-04-06 , 	1950.00
2015-04-07 , 	1950.00
2015-04-08 , 	1950.00
2015-04-09 , 	1950.00
2015-04-10 , 	1950.00
2015-04-11 , 	1950.00
2015-04-12 , 	1950.00
2015-04-13 , 	1950.00
2015-04-14 , 	1950.00
2015-04-15 , 	1950.00
2015-04-16 , 	1950.00
2015-04-17 , 	1950.00
2015-04-18 , 	1950.00
2015-04-19 , 	1950.00
2015-04-20 , 	1950.00
2015-04-21 , 	1950.00
2015-04-22 , 	1950.00
2015-04-23 , 	1950.00
2015-04-24 , 	1950.00
2015-04-25 , 	1950.00
2015-04-26 , 	1950.00
2015-04-27 , 	1950.00
2015-04-28 , 	1950.00
2015-04-29 , 	1950.00
2015-04-30 , 	1950.00
2015-05-01 , 	2450.00
2015-05-02 , 	2450.00
2015-05-03 , 	2450.00
2015-05-04 , 	2450.00
2015-05-05 , 	2450.00
2015-05-06 , 	2450.00
2015-05-07 , 	2450.00
2015-05-08 , 	2450.00
2015-05-09 , 	2450.00
2015-05-10 , 	2450.00
2015-05-11 , 	2450.00
2015-05-12 , 	2450.00
2015-05-13 , 	2450.00
2015-05-14 , 	2450.00
2015-05-15 , 	2450.00
2015-05-16 , 	2450.00
2015-05-17 , 	2450.00
2015-05-18 , 	2450.00
2015-05-19 , 	2450.00
2015-05-20 , 	2450.00
2015-05-21 , 	2450.00
2015-05-22 , 	2450.00
2015-05-23 , 	2450.00
2015-05-24 , 	2450.00
2015-05-25 , 	2450.00
2015-05-26 , 	2450.00
2015-05-27 , 	2450.00
2015-05-28 , 	2450.00
2015-05-29 , 	2450.00
2015-05-30 , 	2450.00
2015-05-31 , 	2450.00
2015-06-01 , 	2720.00
2015-06-02 , 	2720.00
2015-06-03 , 	2720.00
2015-06-04 , 	2720.00
2015-06-05 , 	2720.00
2015-06-06 , 	2720.00
2015-06-07 , 	2720.00
2015-06-08 , 	2720.00
2015-06-09 , 	2720.00
2015-06-10 , 	2720.00
2015-06-11 , 	2720.00
2015-06-12 , 	2720.00
2015-06-13 , 	2720.00
2015-06-14 , 	2720.00
2015-06-15 , 	2720.00
2015-06-16 , 	2720.00
2015-06-17 , 	2720.00
2015-06-18 , 	2720.00
2015-06-19 , 	2720.00
2015-06-20 , 	2720.00
2015-06-21 , 	2720.00
2015-06-22 , 	2720.00
2015-06-23 , 	2720.00
2015-06-24 , 	2720.00
2015-06-25 , 	2720.00
2015-06-26 , 	2720.00
2015-06-27 , 	2720.00
2015-06-28 , 	2720.00
2015-06-29 , 	2720.00
2015-06-30 , 	2720.00
2015-07-01 , 	3080.00
2015-07-02 , 	3080.00
2015-07-03 , 	3080.00
