UNITS:	cms	
KIND:	flow	
INTERVAL:	dly	
LOCATION:	det	
# m applied d		
2015-05-04 , 	5900.00
2015-05-05 , 	5900.00
2015-05-06 , 	5900.00
2015-05-07 , 	5900.00
2015-05-08 , 	5900.00
2015-05-09 , 	5900.00
2015-05-10 , 	5900.00
2015-05-11 , 	5900.00
2015-05-12 , 	5900.00
2015-05-13 , 	5900.00
2015-05-14 , 	5900.00
2015-05-15 , 	5900.00
2015-05-16 , 	5900.00
2015-05-17 , 	5900.00
2015-05-18 , 	5900.00
2015-05-19 , 	5900.00
2015-05-20 , 	5900.00
2015-05-21 , 	5900.00
2015-05-22 , 	5900.00
2015-05-23 , 	5900.00
2015-05-24 , 	5900.00
2015-05-25 , 	5900.00
2015-05-26 , 	5900.00
2015-05-27 , 	5900.00
2015-05-28 , 	5900.00
2015-05-29 , 	5900.00
2015-05-30 , 	5900.00
2015-05-31 , 	5900.00
2015-06-01 , 	6030.00
2015-06-02 , 	6030.00
2015-06-03 , 	6030.00
2015-06-04 , 	6030.00
2015-06-05 , 	6030.00
2015-06-06 , 	6030.00
2015-06-07 , 	6030.00
2015-06-08 , 	6030.00
2015-06-09 , 	6030.00
2015-06-10 , 	6030.00
2015-06-11 , 	6030.00
2015-06-12 , 	6030.00
2015-06-13 , 	6030.00
2015-06-14 , 	6030.00
2015-06-15 , 	6030.00
2015-06-16 , 	6030.00
2015-06-17 , 	6030.00
2015-06-18 , 	6030.00
2015-06-19 , 	6030.00
2015-06-20 , 	6030.00
2015-06-21 , 	6030.00
2015-06-22 , 	6030.00
2015-06-23 , 	6030.00
2015-06-24 , 	6030.00
2015-06-25 , 	6030.00
2015-06-26 , 	6030.00
2015-06-27 , 	6030.00
2015-06-28 , 	6030.00
2015-06-29 , 	6030.00
2015-06-30 , 	6030.00
2015-07-01 , 	5960.00
2015-07-02 , 	5960.00
2015-07-03 , 	5960.00
