UNITS:	cms	
KIND:	nbs	
INTERVAL:	dly	
LOCATION:	sup	
# m applied d		
2014-12-19 , 	330.00
2014-12-20 , 	330.00
2014-12-21 , 	330.00
2014-12-22 , 	330.00
2014-12-23 , 	330.00
2014-12-24 , 	330.00
2014-12-25 , 	330.00
2014-12-26 , 	330.00
2014-12-27 , 	330.00
2014-12-28 , 	330.00
2014-12-29 , 	330.00
2014-12-30 , 	330.00
2014-12-31 , 	330.00
2015-01-01 , 	-1060.00
2015-01-02 , 	-1060.00
2015-01-03 , 	-1060.00
2015-01-04 , 	-1060.00
2015-01-05 , 	-1060.00
2015-01-06 , 	-1060.00
2015-01-07 , 	-1060.00
2015-01-08 , 	-1060.00
2015-01-09 , 	-1060.00
2015-01-10 , 	-1060.00
2015-01-11 , 	-1060.00
2015-01-12 , 	-1060.00
2015-01-13 , 	-1060.00
2015-01-14 , 	-1060.00
2015-01-15 , 	-1060.00
2015-01-16 , 	-1060.00
2015-01-17 , 	-1060.00
2015-01-18 , 	-1060.00
2015-01-19 , 	-1060.00
2015-01-20 , 	-1060.00
2015-01-21 , 	-1060.00
2015-01-22 , 	-1060.00
2015-01-23 , 	-1060.00
2015-01-24 , 	-1060.00
2015-01-25 , 	-1060.00
2015-01-26 , 	-1060.00
2015-01-27 , 	-1060.00
2015-01-28 , 	-1060.00
2015-01-29 , 	-1060.00
2015-01-30 , 	-1060.00
2015-01-31 , 	-1060.00
2015-02-01 , 	-120.00
2015-02-02 , 	-120.00
2015-02-03 , 	-120.00
2015-02-04 , 	-120.00
2015-02-05 , 	-120.00
2015-02-06 , 	-120.00
2015-02-07 , 	-120.00
2015-02-08 , 	-120.00
2015-02-09 , 	-120.00
2015-02-10 , 	-120.00
2015-02-11 , 	-120.00
2015-02-12 , 	-120.00
2015-02-13 , 	-120.00
2015-02-14 , 	-120.00
2015-02-15 , 	-120.00
2015-02-16 , 	-120.00
2015-02-17 , 	-120.00
2015-02-18 , 	-120.00
2015-02-19 , 	-120.00
2015-02-20 , 	-120.00
2015-02-21 , 	-120.00
2015-02-22 , 	-120.00
2015-02-23 , 	-120.00
2015-02-24 , 	-120.00
2015-02-25 , 	-120.00
2015-02-26 , 	-120.00
2015-02-27 , 	-120.00
2015-02-28 , 	-120.00
2015-03-01 , 	1800.00
2015-03-02 , 	1800.00
2015-03-03 , 	1800.00
2015-03-04 , 	1800.00
2015-03-05 , 	1800.00
2015-03-06 , 	1800.00
2015-03-07 , 	1800.00
2015-03-08 , 	1800.00
2015-03-09 , 	1800.00
2015-03-10 , 	1800.00
2015-03-11 , 	1800.00
2015-03-12 , 	1800.00
2015-03-13 , 	1800.00
2015-03-14 , 	1800.00
2015-03-15 , 	1800.00
2015-03-16 , 	1800.00
2015-03-17 , 	1800.00
2015-03-18 , 	1800.00
2015-03-19 , 	1800.00
2015-03-20 , 	1800.00
2015-03-21 , 	1800.00
2015-03-22 , 	1800.00
2015-03-23 , 	1800.00
2015-03-24 , 	1800.00
2015-03-25 , 	1800.00
2015-03-26 , 	1800.00
2015-03-27 , 	1800.00
2015-03-28 , 	1800.00
2015-03-29 , 	1800.00
2015-03-30 , 	1800.00
2015-03-31 , 	1800.00
2015-04-01 , 	3730.00
2015-04-02 , 	3730.00
2015-04-03 , 	3730.00
2015-04-04 , 	3730.00
2015-04-05 , 	3730.00
2015-04-06 , 	3730.00
2015-04-07 , 	3730.00
2015-04-08 , 	3730.00
2015-04-09 , 	3730.00
2015-04-10 , 	3730.00
2015-04-11 , 	3730.00
2015-04-12 , 	3730.00
2015-04-13 , 	3730.00
2015-04-14 , 	3730.00
2015-04-15 , 	3730.00
2015-04-16 , 	3730.00
2015-04-17 , 	3730.00
2015-04-18 , 	3730.00
2015-04-19 , 	3730.00
