UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	sup	
# daily lwa			
2014-10-09 , 	183.72
2014-10-10 , 	183.71
2014-10-11 , 	183.70
2014-10-12 , 	183.69
2014-10-13 , 	183.69
2014-10-14 , 	183.71
2014-10-15 , 	183.71
2014-10-16 , 	183.71
2014-10-17 , 	183.72
2014-10-18 , 	183.72
2014-10-19 , 	183.70
2014-10-20 , 	183.71
2014-10-21 , 	183.71
2014-10-22 , 	183.70
2014-10-23 , 	183.69
2014-10-24 , 	183.69
2014-10-25 , 	183.70
2014-10-26 , 	183.71
2014-10-27 , 	183.69
2014-10-28 , 	183.69
2014-10-29 , 	183.72
2014-10-30 , 	183.71
2014-10-31 , 	183.71
2014-11-01 , 	183.70
2014-11-02 , 	183.69
2014-11-03 , 	183.69
2014-11-04 , 	183.69
2014-11-05 , 	183.70
2014-11-06 , 	183.69
2014-11-07 , 	183.68
2014-11-08 , 	183.69
2014-11-09 , 	183.68
2014-11-10 , 	183.68
2014-11-11 , 	183.68
2014-11-12 , 	183.69
2014-11-13 , 	183.68
2014-11-14 , 	183.68
2014-11-15 , 	183.66
2014-11-16 , 	183.65
2014-11-17 , 	183.65
2014-11-18 , 	183.67
2014-11-19 , 	183.65
2014-11-20 , 	183.67
2014-11-21 , 	183.64
2014-11-22 , 	183.65
2014-11-23 , 	183.62
2014-11-24 , 	183.65
2014-11-25 , 	183.65
2014-11-26 , 	183.65
2014-11-27 , 	183.66
2014-11-28 , 	183.63
2014-11-29 , 	183.62
2014-11-30 , 	183.66
2014-12-01 , 	183.65
2014-12-02 , 	183.60
2014-12-03 , 	183.63
2014-12-04 , 	183.61
2014-12-05 , 	183.60
2014-12-06 , 	183.61
2014-12-07 , 	183.58
2014-12-08 , 	183.59
2014-12-09 , 	183.61
2014-12-10 , 	183.59
2014-12-11 , 	183.59
2014-12-12 , 	183.59
2014-12-13 , 	183.58
2014-12-14 , 	183.58
2014-12-15 , 	183.58
2014-12-16 , 	183.60
2014-12-17 , 	183.62
2014-12-18 , 	183.61
2014-12-19 , 	183.60
2014-12-20 , 	183.60
2014-12-21 , 	183.59
2014-12-22 , 	183.59
2014-12-23 , 	183.59
2014-12-24 , 	183.61
2014-12-25 , 	183.61
2014-12-26 , 	183.60
2014-12-27 , 	183.61
2014-12-28 , 	183.61
